toponyme,derive,transcription_base,transcription_derive,sfx_gentile,allomorphie,topo_compose,type_topo,pays,nb_syll_base,nb_seg_base,der_seg_base
Port-au-Prince,port-au-princien,pɔ.ʁo.pʁɛ̃s,pɔ.ʁo.pʁɛ̃.sjɛ̃,ien,0,1,ville,autre,3,8,s
Porto-Novo,porto-novien,pɔʁ.to.nɔ.vo,pɔʁ.to.nɔ.vjɛ̃,ien,1,1,ville,autre,4,9,o
Prunay-sur-Essonne,prunaysien,pʁy.nɛ,pʁy.nɛ.zjɛ̃,ien,1,1,ville,france,2,5,ɛ
Prusse,prussien,pʁys,pʁy.sjɛ̃,ien,0,0,région,autre,1,4,s
Riyad,riyadien,ʁi.jad,ʁi.ja.djɛ̃,ien,0,0,ville,autre,2,5,d
Saint-Claude,sanclaudien,sɛ̃.klod,sã.klo.djɛ̃,ien,1,1,ville,france,2,6,d
Saint-Cyr-en-Arthies,saint-cyrien,sɛ̃.siʁ,sɛ̃.si.ʁjɛ̃,ien,0,1,ville,france,2,5,ʁ
Saint-Cyr-sous-Dourdan,saint-cyrien,sɛ̃.siʁ,sɛ̃.si.ʁjɛ̃,ien,0,1,ville,france,2,5,ʁ
Saint-Cyr-sur-Mer,saint-cyrien,sɛ̃.siʁ,sɛ̃.si.ʁjɛ̃,ien,0,1,ville,france,2,5,ʁ
Saint-Denis,dionysien,də.ni,djɔ.ni.zjɛ̃,ien,1,1,ville,france,2,4,i
Saint-Didier,déodatien,di.djɛ,de.o.da.sjɛ̃,ien,1,1,ville,france,2,5,ɛ
Saint-Gildas-des-Bois,gildasien,ʒil.das,ʒil.da.sjɛ̃,ien,0,1,ville,france,2,6,s
Saint-Jean-d'Angély,angérien,ã.ʒe.li,ã.ʒe.ʁjɛ̃,ien,1,1,ville,france,3,5,i
Saint-Laurent,laurentien,lo.ʁã,lo.ʁã.sjɛ̃,ien,1,1,ville,france,2,4,ã
Saint-Léonard-des-Bois,saint-léonardien,sɛ̃.le.o.naʁ,sɛ̃.le.o.naʁ.djɛ̃,ien,1,1,ville,france,4,8,ʁ
Saint-Louis,saint-louisien,sɛ̃.lwi,sɛ̃.lwi.zjɛ̃,ien,1,1,ville,france,2,5,i
Saint-Mars-du-Désert,marsien,maʁ,maʁ.sjɛ̃,ien,1,1,ville,france,1,3,ʁ
Saint-Maurice,mauritien,mo.ʁis,mo.ʁi.sjɛ̃,ien,0,1,ville,france,2,5,s
Saint-Maurice,saint-mauricien,sɛ̃.mɔ.ʁis,sɛ̃.mo.ʁi.sjɛ̃,ien,0,1,ville,france,3,7,s
Saint-Nazaire,nazairien,na.zɛʁ,na.zɛ.ʁjɛ̃,ien,0,1,ville,france,2,5,ʁ
Saint-Pierre-sur-Dives,pétruvien,pjɛʁ,pe.tʁy.vjɛ̃,ien,1,1,ville,france,1,4,ʁ
Saint-Tropez,tropézien,tʁo.pe,tʁo.pe.zjɛ̃,ien,1,1,ville,france,2,5,e
Salvador,salvadorien,sal.va.dɔʁ,sal.va.dɔ.ʁjɛ̃,ien,0,0,pays,autre,3,8,ʁ
Sannois,sannoisien,sa.nwa,sa.nwa.zjɛ̃,ien,1,0,ville,france,2,5,a
Saône-et-Loire,saône-et-loirien,so.ne.lwaʁ,so.ne.lwa.ʁjɛ̃,ien,0,1,département,france,3,8,ʁ
Senlis,senlisien,sã.lis,sã.li.sjɛ̃,ien,0,0,ville,france,2,5,s
Sermaise,sermaisien,sɛʁ.mɛz,sɛʁ.mɛ.zjɛ̃,ien,0,0,ville,france,2,6,z
Séoul,séoulien,se.ul,se.u.ljɛ̃,ien,0,0,ville,autre,2,4,l
Sèvres,sévrien,sɛvʁ,se.vʁjɛ̃,ien,0,0,ville,france,1,4,ʁ
Deux-Sèvres,deux-sévrien,dø.sɛvʁ,dø.se.vʁjɛ̃,ien,0,1,département,france,2,6,ʁ
Sicile,sicilien,si.sil,si.si.ljɛ̃,ien,0,0,région,autre,2,5,l
Singapour,singapourien,sɛ̃.ga.puʁ,sɛ̃.ga.pu.ʁjɛ̃,ien,0,0,ville,autre,3,7,ʁ
Sucy-en-Brie,sucyssien,sy.si,sy.si.sjɛ̃,ien,1,1,ville,france,2,4,i
Tarare,tararien,ta.ʁaʁ,ta.ʁa.ʁjɛ̃,ien,0,0,ville,france,2,5,ʁ
Tchad,tchadien,tʃad,tʃa.diɛ̃,ien,0,0,pays,autre,1,4,d
Thiais,thiaisien,tjɛ,tjɛ.zjɛ̃,ien,1,0,ville,france,1,3,ɛ
Tournus,tournusien,tuʁ.nys,tuʁ.ny.zjɛ̃,ien,1,0,ville,france,2,6,s
Trois-Rivières,trifluvien,tʁwɑ.ʁi.vjɛʁ,tʁi.fly.vjɛ̃,ien,1,1,ville,france,3,10,ʁ
Tyrol,tyrolien,ti.ʁɔl,ti.ʁɔ.ljɛ̃,ien,0,0,région,autre,2,5,l
Ukraine,ukrainien,y.kʁɛn,y.kʁɛ.njɛ̃,ien,0,0,pays,autre,2,5,n
Val-d'Oise,val-d'oisien,val.dwaz,val.dwa.zjɛ̃,ien,0,1,département,france,2,7,z
Valois,valoisien,va.lwa,va.lwa.zjɛ̃,ien,1,0,région,france,2,5,a
Vaucluse,vauclusien,vo.klyz,vo.kly.zjɛ̃,ien,0,0,ville,france,2,6,z
Vauréal,vauréalien,vo.ʁe.al,vo.ʁe.a.ljɛ̃,ien,0,0,ville,france,3,6,l
Veneux-les-Sablons,veneusien,və.nø,və.nø.zjɛ̃,ien,1,1,ville,france,2,4,ø
Verneuil-en-Halatte,vernolien,vɛʁ.nœj,vɛʁ.no.ljɛ̃,ien,1,1,ville,france,2,6,j
Vertus,vertusien,vɛʁ.ty,vɛʁ.ty.zjɛ̃,ien,1,0,ville,france,2,5,y
Vigneux-sur-Seine,vigneusien,vi.ɲø,vi.ɲø.zjɛ̃,ien,1,1,ville,france,2,4,ø
Villejust,villejustien,vil.jyst,vil.jys.tjɛ̃,ien,0,0,ville,france,2,7,t
Villers-Cotterêts,cotterézien,ko.tʁɛ,ko.tʁe.zjɛ̃,ien,1,1,ville,france,2,5,ɛ
Voise,voisien,vwaz,vwa.zjɛ̃,ien,0,0,ville,france,1,4,z
Vosges,vosgien,voʒ,vo.ʒjɛ̃,ien,0,0,département,france,1,3,ʒ
Washington,washingtonien,wa.ʃiŋ.tɔn,wa.ʃiŋ.tɔ.njɛ̃,ien,0,0,ville,autre,3,8,n
Wattrelos,wattrelosien,wa.tʁə.lo,wa.tʁə.lo.zjɛ̃,ien,1,0,ville,france,3,7,o
Bujumbura,bujumburien,bu.ʒum.bu.ʁa,bu.ʒum.bu.ʁjɛ̃,ien,1,0,ville,autre,4,9,a
Cantal,cantalien,kã.tal,kã.ta.ljɛ̃,ien,0,0,département,france,2,5,l
Cap-Vert,cap-verdien,kap.vɛʁ,kap.vɛʁ.djɛ̃,ien,1,1,pays,autre,2,6,ʁ
Barbuda,barbudien,baʁ.bu.da,baʁ.by.djɛ̃,ien,1,0,région,autre,3,7,a
Délos,délien,de.lɔs,de.ljɛ̃,ien,1,0,région,autre,2,5,s
Guatemala,guatémalien,gwa.te.ma.la,gwa.te.ma.ljɛ̃,ien,1,0,pays,autre,4,9,a
Madère,madérien,ma.dɛʁ,ma.de.ʁjɛ̃,ien,0,0,région,autre,2,5,ʁ
Panama,panamien,pa.na.ma,pa.na.mjɛ̃,ien,1,0,ville,autre,3,6,a
Sahara,saharien,sa.a.ʁa,sa.a.ʁjɛ̃,ien,1,0,région,autre,3,5,a
Tonga,tonguien,tɔŋ.ga,tɔŋ.gjɛ̃,ien,1,0,pays,autre,2,5,a
Valence,valencien,va.lãs,va.lã.sjɛ̃,ien,0,0,ville,france,2,5,s
Venezuela,vénézuélien,ve.ne.zɥe.la,ve.ne.zɥe.ljɛ̃,ien,1,0,pays,autre,4,9,a
Belize,bélizien,be.liz,be.li.zjɛ̃,ien,0,0,pays,autre,2,5,z
Vittel,vittellien,vi.tɛl,vi.te.ljɛ̃,ien,0,0,ville,france,2,5,l
Banthelu,banthelusien,bã.tɛ.ly,bã.tɛ.ly.zjɛ̃,ien,1,0,ville,france,3,6,y
Boullay-les-Troux,boullaysien,bu.lɛ,bu.lɛ.zjɛ̃,ien,1,1,ville,france,2,4,ɛ
Châtenay-en-France,franc-châtenaysien,ʃa.tə.nɛ.fʁãs,fʁã.ʃa.tə.nɛ.zjɛ̃,ien,1,1,ville,france,4,10,s
Douai,douaisien,du.ɛ,due.zjɛ̃,ien,1,0,ville,france,2,3,ɛ
Dugny,dugnysien,dy.ɲi,dy.ɲi.zjɛ̃,ien,1,0,ville,france,2,4,i
Fontenay,fontenaysien,fɔ̃t.nɛ,fɔ̃t.nɛ.zjɛ̃,ien,1,0,ville,france,2,5,ɛ
Herblay,herblaysien,ɛʁ.blɛ,ɛʁ.blɛ.zjɛ̃,ien,1,0,ville,france,2,5,ɛ
Magalas,magalassien,ma.ga.las,ma.ga.la.sjɛ̃,ien,0,0,ville,france,3,7,s
Manou,manousien,ma.nu,ma.nu.zjɛ̃,ien,1,0,ville,france,2,4,u
Marcoussis,marcoussissien,maʁ.ku.si,maʁ.ku.si.sjɛ̃,ien,1,0,ville,france,3,7,i
Marly-la-Ville,marlysien,maʁ.li,maʁ.li.zjɛ̃,ien,1,1,ville,france,2,5,i
Norrois,norroissien,nɔ.ʁwa,nɔ.ʁwa.sjɛ̃,ien,1,0,ville,france,2,5,a
Orly,orlysien,ɔ.ʁli,ɔ.ʁli.zjɛ̃,ien,1,0,ville,france,2,4,i
Pierrelaye,pierrelaysien,pjɛʁ.lɛ,pjɛʁ.lɛ.zjɛ̃,ien,1,0,ville,france,2,6,ɛ
Saint-Leu,saint-leusien,sɛ̃.lø,sɛ̃.lø.zjɛ̃,ien,1,1,ville,france,2,4,ø
Sully,sullysien,sy.li,sy.li.zjɛ̃,ien,1,0,ville,france,2,4,i
Taillis,taillissien,ta.ji,ta.ji.sjɛ̃,ien,1,0,ville,france,2,4,i
Tremblay-en-France,tremblaysien,tʁã.blɛ,tʁã.blɛ.zjɛ̃,ien,1,1,ville,france,2,6,ɛ
Tremblay-les-Villages,tremblaisien,tʁã.blɛ,tʁã.blɛ.zjɛ̃,ien,1,1,ville,france,2,6,ɛ
Volnay,volnaysien,vɔl.nɛ,vɔl.nɛ.zjɛ̃,ien,1,0,ville,france,2,5,ɛ
Vonnas,vonnassien,vɔ.na,vɔ.na.sjɛ̃,ien,1,0,ville,france,2,4,a
Wissous,wissoussien,vi.su,vi.su.sjɛ̃,ien,1,0,ville,france,2,4,u
Bona,bonassien,bɔ.na,bɔ.na.sjɛ̃,ien,1,0,ville,france,2,4,a
Burcy,burcyssien,byʁ.si,byʁ.si.sjɛ̃,ien,1,0,ville,france,2,5,i
Jura,jurassien,ʒy.ʁa,ʒy.ʁa.sjɛ̃,ien,1,0,département,france,2,4,a
Nantua,nantuatien,nã.tɥa,nã.tɥa.sjɛ̃,ien,1,0,ville,france,2,5,a
Nassau,nassauvien,na.so,na.so.vjɛ̃,ien,1,0,ville,autre,2,4,o
Chambly,camblysien,ʃã.bli,kã.bli.zjɛ̃,ien,1,0,ville,france,2,5,i
Carrouges,carroygien,ka.ʁuʒ,ka.ʁwa.ʒjɛ̃,ien,1,0,ville,france,2,5,ʒ
Fontaine,fontanien,fɔ̃.tɛn,fɔ̃.ta.njɛ̃,ien,1,0,ville,france,2,5,n
Macédoine,macédonien,ma.se.dwan,ma.se.dɔ.njɛ̃,ien,1,0,pays,autre,3,8,n
Nancy,nancéien,nã.si,nã.se.jɛ̃,ien,1,0,ville,france,2,4,i
Cardroc,cardreucien,kaʁd.ʁɔk,kaʁ.dʁø.sjɛ̃,ien,1,0,ville,france,2,7,k
Arthies,arthésien,aʁ.ti,aʁ.te.zjɛ̃,ien,1,0,ville,france,2,4,i
Artois,artésien,aʁ.twa,aʁ.te.zjɛ̃,ien,1,0,région,france,2,5,a
Canteleu,cantilien,kãt.lø,kã.ti.ljɛ̃,ien,1,0,ville,france,2,5,ø
Bardou,bardovien,baʁ.du,baʁ.do.vjɛ̃,ien,1,0,ville,france,2,5,u
Blay,blavien,blɛ,bla.vjɛ̃,ien,1,0,ville,france,1,3,ɛ
Ennery,annerissien,ɛn.ʁi,an.ʁi.sjɛ̃,ien,1,0,ville,france,2,4,i
Feurs,forézien,fœʁ,fo.ʁe.zjɛ̃,ien,1,0,ville,france,1,3,ʁ
Bouqueval,valbucien,buk.val,val.by.sjɛ̃,ien,1,0,ville,france,2,6,l
Bourg-la-Reine,réginaburgien,buʁ.ʁɛn,ʁe.ʒi.na.byʁ.ʒjɛ̃,ien,1,1,ville,france,2,6,n
Amsterdam,amstellodamien,ams.tɛʁ.dam,ams.tɛ.lo.da.mjɛ̃,ien,1,0,ville,autre,3,9,m
Aubenas,albenassien,o.bə.na,al.bə.na.sjɛ̃,ien,1,0,ville,france,3,5,a
Aulnoy,alnésien,ol.nwa,al.ne.zjɛ̃,ien,1,0,ville,france,2,5,a
Auxy,alcien,o.ksi,al.sjɛ̃,ien,1,0,ville,france,2,4,i
Beaufay,belfédien,bo.fɛ,bɛl.fe.djɛ̃,ien,1,0,ville,france,2,4,ɛ
Champeaux,campelien,ʃã.po,kã.pə.ljɛ̃,ien,1,0,ville,france,2,4,o
Chantilly,cantilien,ʃã.ti.ji,kã.ti.ljɛ̃,ien,1,0,ville,france,3,6,i
Fours,fournaisien,fuʁ,fuʁ.nɛ.zjɛ̃,ien,1,0,ville,france,1,3,ʁ
Gagny,gabinien,ga.ɲi,ga.bi.njɛ̃,ien,1,0,ville,france,2,4,i
Louviers,lovérien,lu.vje,lo.ve.ʁjɛ̃,ien,1,0,ville,france,2,5,e
Mézières,macérien,me.zjɛʁ,ma.se.ʁjɛ̃,ien,1,0,ville,france,2,6,ʁ
Monestier,monastérien,mɔ.nɛs.tje,mɔ.nas.te.ʁjɛ̃,ien,1,0,ville,france,3,8,e
Montgeroult,montgéraldien,mɔ̃ʒ.ʁu,mɔ̃.ʒe.ʁal.djɛ̃,ien,1,0,ville,france,2,5,u
Aubepierre-Ozouer-le-Repos,albapétrucien,o.bə.pjɛʁ,al.ba.pe.tʁy.sjɛ̃,ien,1,1,ville,france,3,7,ʁ
Boissy-l'Aillerie,buxérien,bwa.si,byk.se.ʁjɛ̃,ien,1,1,ville,france,2,5,i
Boissy-la-Rivière,buccussien,bwa.si,by.ky.sjɛ̃,ien,1,1,ville,france,2,5,i
Bonsecours,bonauxilien,bɔ̃.sə.kuʁ,bo.nɔk.si.ljɛ̃,ien,1,0,ville,france,3,7,ʁ
Charleroi,carolorégien,ʃaʁ.lə.ʁwa,ka.ʁɔ.lɔ.ʁe.ʒiɛ̃,ien,1,0,ville,france,3,8,a
Charleville-Mézières,carolomacérien,ʃaʁ.lə.vil.me.zjɛʁ,ka.ʁo.lo.ma.se.ʁjɛ̃,ien,1,1,ville,france,5,14,ʁ
Cahors,cadurcien,ka.ɔʁ,ka.dyʁ.sjɛ̃,ien,1,0,ville,france,2,4,ʁ
Chauffour-lès-Étréchy,calidussien,ʃo.fuʁ.lɛ.ze.tʁe.ʃi,ka.li.dy.sjɛ̃,ien,1,1,ville,france,6,14,i
Cîteaux,cistercien,si.to,sis.tɛʁ.sjɛ̃,ien,1,0,autre,france,2,4,o
Coulommiers,columérien,ku.lɔ.mje,kɔ.ly.me.ʁjɛ̃,ien,1,0,ville,france,3,7,e
