toponyme,derive,transcription_base,transcription_derive,sfx_gentile,allomorphie,topo_compose,type_topo,pays,nb_syll_base,nb_seg_base,der_seg_base
Fontenay,fontenaisien,fɔ̃t.nɛ,fɔ̃t.nɛ.zjɛ̃,ien,1,0,ville,france,2,5,ɛ
Groslay,groslaisien,gʁo.lɛ,gʁo.lɛ.zjɛ̃,ien,1,0,ville,france,2,5,ɛ
Haguenau,haguenovien,a.gə.no,a.gə.no.vjɛ̃,ien,1,0,ville,france,3,5,o
Paley,palaisien,pa.lɛ,pa.lɛ.zjɛ̃,ien,1,0,ville,france,2,4,ɛ
Parthenay,parthenaisien,paʁ.tə.nɛ,paʁ.tə.nɛ.zjɛ̃,ien,1,0,ville,france,3,7,ɛ
Saclay,saclaisien,sa.klɛ,sa.klɛ.zjɛ̃,ien,1,0,ville,france,2,5,ɛ
Charmes,charmésien,ʃaʁm,ʃaʁ.me.zjɛ̃.,ien,1,0,ville,france,1,4,m
Denain,denaisien,də.nɛ̃,də.nɛ.zjɛ̃,ien,1,0,ville,france,2,4,ɛ̃
Feins,finésien,fɛ̃,fi.ne.zjɛ̃,ien,1,0,ville,france,1,2,ɛ̃
Colmars,colmarsien,kɔl.maʁ,kɔl.maʁ.sjɛ̃,ien,1,0,ville,france,2,6,ʁ
Riez,réien,ʁi.je,ʁe.jɛ̃,ien,1,0,ville,france,2,4,e
Montdidier,montdidérien,mɔ̃.di.dje,mɔ̃.di.de.ʁjɛ̃,ien,1,0,ville,france,3,7,e
Pithiviers,pithivérien,pi.ti.vje,pi.ti.ve.ʁjɛ̃,ien,1,0,ville,france,3,7,e
Bahamas,bahamien,ba.a.mas,ba.a.mjɛ̃,ien,1,0,pays,autre,3,6,s
Gex,gessien,ʒɛks,ʒɛ.sjɛ̃,ien,1,0,ville,france,1,4,s
Honduras,hondurien,ɔ̃.dy.ʁas,ɔ̃.dy.ʁjɛ̃,ien,1,0,pays,autre,3,6,s
Lesbos,lesbien,lɛs.bos,lɛs.bjɛ̃,ien,1,0,région,autre,2,6,s
Rocamadour,amadourien,ʁɔ.ka.ma.duʁ,a.ma.du.ʁjɛ̃,ien,1,0,ville,france,4,9,ʁ
Plumelec,melecien,ply.m.lɛk,mə.lɛ.sjɛ̃,ien,1,0,ville,france,3,7,k
Montélimar,montilien,mɔ̃.te.li.maʁ,mɔ̃.ti.ljɛ̃,ien,1,0,ville,france,4,9,ʁ
Monteux,montilien,mɔ̃.tø,mɔ̃.ti.ljɛ̃,ien,1,0,ville,france,2,4,ø
Calvados,calvadosien,kal.va.dos,kal.va.do.sjɛ̃,ien,0,0,département,france,3,8,s
Cambodge,cambodgien,kã.bɔdʒ,kã.bɔd.ʒjɛ̃,ien,0,0,pays,autre,2,6,ʒ
Caracas,caracassien,ka.ʁa.kas,ka.ʁa.ka.sjɛ̃,ien,0,0,ville,autre,3,7,s
Caucase,caucasien,ko.kaz,ko.ka.zjɛ̃,ien,0,0,région,autre,2,5,z
Cesse,cessien,sɛs,sɛ.sjɛ̃,ien,0,0,ville,france,1,3,s
Corinthe,corinthien,kɔ.ʁɛ̃t,kɔ.ʁɛ̃.tjɛ̃,ien,0,0,ville,autre,2,5,t
Corrèze,corrézien,kɔ.ʁɛz,kɔ.ʁe.zjɛ̃,ien,0,0,ville,france,2,5,z
Chartronges,chartrongien,ʃaʁ.tʁɔ̃ʒ,ʃaʁ.tʁɔ̃.ʒjɛ̃,ien,0,0,ville,france,2,7,ʒ
Colmar,colmarien,kɔl.maʁ,kɔl.ma.ʁjɛ̃,ien,0,0,ville,france,2,6,ʁ
Colombes,colombien,kɔ.lɔ̃b,kɔ.lɔ̃.bjɛ̃,ien,0,0,ville,france,2,5,b
Comores,comorien,kɔ.mɔʁ,kɔ.mɔ.ʁjɛ̃,ien,0,0,pays,autre,2,5,ʁ
Coucy,coucyien,ku.si,ku.si.jɛ̃,ien,0,0,ville,france,2,4,i
Israël,israélien,is.ʁa.ɛl,is.ʁa.e.ljɛ̃,ien,0,0,pays,autre,3,6,l
Lagos,lagotien,la.gɔs,la.gɔ.sjɛ̃,ien,0,0,ville,france,2,5,s
Laos,laotien,la.ɔs,la.ɔ.sjɛ̃,ien,0,0,pays,autre,2,4,s
Limours,limourien,li.muʁ,li.mu.ʁjɛ̃,ien,0,0,ville,france,2,5,ʁ
Mars,martien,maʁs,maʁ.sjɛ̃,ien,0,0,ville,france,1,4,s
Oise,oisien,waz,wa.zjɛ̃,ien,0,0,département,france,1,3,z
Pérou,péruvien,pe.ʁu,pe.ʁy.vjɛ̃,ien,1,0,pays,autre,2,4,u
Pîtres,pitrien,pitʁ,pi.tʁi.jɛ̃,ien,0,0,ville,france,1,4,ʁ
Strasbourg,strasbourgeois,stʁas.buʁ,stʁaz.buʁ.ʒwa,ois,1,0,ville,france,2,8,ʁ
Sarre,sarrois,saʁ,sa.ʁwa,ois,0,0,région,autre,1,3,ʁ
Siam,siamois,sjam,sja.mwa,ois,0,0,pays,autre,1,4,m
Sienne,siennois,sjɛn,sjɛ.nwa,ois,0,0,ville,autre,1,4,n
Suède,suédois,sɥɛd,sɥe.dwa,ois,0,0,pays,autre,1,4,d
Turin,turinois,ty.ʁɛ̃,ty.ʁi.nwa,ois,1,0,ville,autre,2,4,ɛ̃
Vendôme,vendômois,vã.dom,vã.do.mwa,ois,0,0,ville,france,2,5,m
Vienne,viennois,vjɛn,vjɛ.nwa,ois,0,0,ville,france,1,4,n
Zurich,zurichois,zy.ʁik,zy.ʁi.kwa,ois,0,0,ville,autre,2,5,k
Genève,genevois,ʒə.nɛv,ʒən.vwa,ois,1,0,ville,autre,2,5,v
Champagne,champenois,ʃã.paɲ,ʃã.pə.nwa,ois,1,0,ville,france,2,5,ɲ
Brioude,brivadois,bʁi.jud,bʁi.va.dwa,ois,1,0,ville,france,2,6,d
Autriche-Hongrie,austro-hongrois,o.tʁiʃ.ɔ̃.gʁi,os.tʁo.ɔ̃.gʁwa,ois,1,1,pays,autre,4,9,i
Alger,algérois,al.ʒe,al.ʒe.ʁwa,ois,1,0,ville,autre,2,4,e
Brandebourg,brandebourgeois,bʁãd.buʁ,bʁãd.buʁ.ʒwa,ois,1,0,région,autre,2,7,ʁ
Clermont-Ferrand,clermontois,klɛʁ.mɔ̃,klɛʁ.mɔ̃.twa,ois,1,1,ville,france,2,6,ɔ̃
Hambourg,hambourgeois,ã.buʁ,ã.buʁ.ʒwa,ois,1,0,ville,autre,2,4,ʁ
Luxembourg,luxembourgeois,lyk.sã.buʁ,lyk.sã.buʁ.ʒwa,ois,1,0,ville,autre,3,8,ʁ
Hongrie,hongrois,ɔ̃.gʁi,ɔ̃.gʁwa,ois,1,0,pays,autre,2,4,i
Albi,albigeois,al.bi,al.bi.ʒwa,ois,1,0,ville,france,2,4,i
Bénin,béninois,be.nɛ̃,be.ni.nwa,ois,1,0,pays,autre,2,4,ɛ̃
Berlin,berlinois,bɛʁ.lɛ̃,bɛʁ.li.nwɑ,ois,1,0,ville,autre,2,5,ɛ̃
Pékin,pékinois,pe.kɛ̃,pe.ki.nwa,ois,1,0,ville,autre,2,4,ɛ̃
Danemark,danois,dan.maʁk,da.nwa,ois,1,0,pays,autre,2,7,k
Bavière,bavarois,ba.vjɛʁ,ba.va.ʁwa,ois,1,0,région,autre,2,6,ʁ
Finlande,finnois,fɛ̃.lãd,fi.nwa,ois,1,0,pays,autre,2,5,d
Ardèche,ardéchois,aʁ.dɛʃ,aʁ.de.ʃwa,ois,0,0,département,france,2,5,ʃ
Ariège,ariégeois,a.ʁjɛʒ,a.ʁje.ʒwa,ois,0,0,département,france,2,5,ʒ
Belleville,bellevillois,bɛl.vil,bɛl.vi.lwa,ois,0,0,ville,france,2,6,l
Berne,bernois,bɛʁn,bɛʁ.nwa,ois,0,0,ville,autre,1,4,n
Brest,brestois,bʁɛst,bʁɛs.twa,ois,0,0,ville,france,1,5,t
Bruges,brugeois,bʁyʒ,bʁy.ʒwa,ois,0,0,ville,france,1,4,ʒ
Bruxelles,bruxellois,bʁy.sɛl,bʁy.sɛ.lwa,ois,0,0,ville,autre,2,6,l
Crète,crétois,kʁɛt,kʁe.twa,ois,0,0,pays,autre,1,4,t
Dakar,dakarois,da.kaʁ,da.ka.ʁwa,ois,0,0,ville,autre,2,5,ʁ
Dieppe,dieppois,djɛp,djɛ.pwa,ois,0,0,ville,france,1,4,p
Gaule,gaulois,gol,go.lwa,ois,0,0,pays,autre,1,3,l
Gênes,génois,ʒɛn,ʒe.nwa,ois,0,0,ville,autre,1,3,n
Grenoble,grenoblois,gʁə.nɔbl,gʁə.nɔ.blwa,ois,0,0,ville,france,2,7,l
Hesse,hessois,ɛs,ɛ.swa,ois,0,0,ville,france,1,2,s
Indochine,indochinois,ɛ̃.dɔ.ʃin,ɛ̃.do.ʃi.nwa,ois,0,0,région,autre,3,6,n
Lausanne,lausannois,lɔ.zan,lɔ.za.nwa,ois,0,0,ville,autre,2,5,n
Liège,liégeois,ljɛʒ,lje.ʒwa,ois,0,0,ville,autre,1,4,ʒ
Munich,munichois,my.nik,my.ni.kwa,ois,0,0,ville,autre,2,5,k
Nice,niçois,nis,ni.swa,ois,0,0,ville,france,1,3,s
Québec,québécois,ke.bɛk,ke.be.kwa,ois,0,0,région,autre,2,5,k
